ENTRADA / RADICADO,ÁREA RESPONSABLE,ASUNTO
E-2026-072005,CORREDORES AMBIENTALES,DERECHO DE PETICIÓN – SOLICITUD DE INFORMACIÓN Y DOCUMENTACIÓN.
E-2026-075739,CORREDORES AMBIENTALES,RESPUESTA ASEGURADO POLIZA NO. 21-45-101381539 RAD: 2510001-S2026-191430
2420001-2026-064,CORREDORES AMBIENTALES,COMUNICADO SECRETARIA DISTRITAL DE AMBIENTE PIN 25707 (E-2026-043864
E-2026-070352 E-2026-070354,CORREDORES AMBIENTALES,PRIMAS PENDIENTES DE PAGO CONTRATO CONTRATO 1-01-2540- CONTRATISTA CONSORCIO RESTAURACION JUAN AMARILLO NIT. 901617677
1530001-2026-0983,CORREDORES AMBIENTALES,RESPUESTA SOLICITUD INFORMACIÓN MEMORANDO 2510001-2026-173.
E-2026-070708,CORREDORES AMBIENTALES,700-570 EAAB RADICACIÓN INFORMES FINALES DE OBRA
1530001-2026-0989,CORREDORES AMBIENTALES,REMISIÓN ACTA DE MEDIACIÓN PARA PAGO. CONVENIO INTERADMINISTRATIVO IDIGER NO. 001- 2016 - SENDERO DE LAS MARIPOSAS SENDERO
E-2026-040141,CORREDORES AMBIENTALES,700-565 EAAB RADICACIÓN INF FINAL TECNICO Y AMBIENTAL INTER
1330001-2026-0275,CORREDORES AMBIENTALES,PARTIDAS ANTIGUAS DE LA CUENTA CONTABLE DE ESTUDIOS Y PROYECTOS
